bedrijf,aangepaste_sector,woonplaats,longitude,latitude,schadekosten_2022
Slibontwateringsinstallatie / RWZI Heerenveen,"Afval, riolering, waterzuivering",Heerenveen,5.89434,52.96947,587
Koninklijke Eru Kaasfabriek BV,"Industrie, Energie en Raffinaderijen",Woerden,4.90919,52.07655,578
EPS B.V.,"Industrie, Energie en Raffinaderijen",Hendrik-Ido-Ambacht,4.65138,51.84907,549
Compaxo Vlees Zevenaar BV,"Industrie, Energie en Raffinaderijen",Zevenaar,6.09098,51.93465,539
RWZI Schelluinen,"Afval, riolering, waterzuivering",Schelluinen,4.93543,51.84369,538
RWZI Haarlo,"Afval, riolering, waterzuivering",Haarlo,6.59325,52.11844,529
RWZI Hapert,"Afval, riolering, waterzuivering",Hapert,5.24070,51.37759,521
RWZI Meppel,"Afval, riolering, waterzuivering",Meppel,6.19364,52.70966,520
RWZI Sint Oedenrode,"Afval, riolering, waterzuivering",Sint-Oedenrode,5.44489,51.56103,507
RWZI Hardenberg,"Afval, riolering, waterzuivering",Bergentheim,6.60933,52.54109,506
Merck Sharp & Dohme BV (Moleneind),"Industrie, Energie en Raffinaderijen",Oss,5.53038,51.76284,506
RWZI Maastricht-Bosscherveld,"Afval, riolering, waterzuivering",Maastricht,5.68251,50.86434,496
RWZI Eelde,"Afval, riolering, waterzuivering",Eelde,6.60370,53.12806,494
RWZI Soest,"Afval, riolering, waterzuivering",Soest,5.29841,52.19343,490
RWZI Rotterdam-Hoogvliet,"Afval, riolering, waterzuivering",Hoogvliet Rotterdam,4.33481,51.87424,487
RWZI Reeuwijk-Randenburg,"Afval, riolering, waterzuivering",Waddinxveen,4.66256,52.05587,471
Keizersberg Diervoeders Elsendorp B.V. (Milheeze),Landbouw,Milheeze,5.80254,51.50997,452
RWZI Alphen Kerk en Zanen,"Afval, riolering, waterzuivering",Alphen aan den Rijn,4.62667,52.12786,445
RWZI Winterswijk,"Afval, riolering, waterzuivering",Winterswijk,6.70677,51.98692,445
RWZI Almelo-Sumpel,"Afval, riolering, waterzuivering",Almelo,6.62277,52.34106,444
RWZI Zeist,"Afval, riolering, waterzuivering",Zeist,5.21151,52.08718,441
RWZI De Groote Zaag,"Afval, riolering, waterzuivering",Krimpen aan de Lek,4.59683,51.89725,433
RWZI Hilversum,"Afval, riolering, waterzuivering",Hilversum,5.20379,52.22428,430
RWZI Geldermalsen,"Afval, riolering, waterzuivering",Geldermalsen,5.27536,51.88707,426
RWZI Oud Beijerland,"Afval, riolering, waterzuivering",Oud Beijerland,4.42965,51.82769,422
RWZI Asten,"Afval, riolering, waterzuivering",Vinkel,5.74352,51.39241,414
RWZI Noordwijk,"Afval, riolering, waterzuivering",Noordwijk,4.44766,52.22154,413
RWZI Sneek,"Afval, riolering, waterzuivering",Sneek,5.64205,53.02305,412
RWZI Nijkerk,"Afval, riolering, waterzuivering",Nijkerk,5.47382,52.23174,411
RWZI Culemborg,"Afval, riolering, waterzuivering",Culemborg,5.23643,51.93943,411
RWZI Rijen,"Afval, riolering, waterzuivering",Rijen,4.92240,51.60341,407
RWZI Oldenzaal,"Afval, riolering, waterzuivering",Oldenzaal,6.89322,52.31006,402
RWZI De Ronde Venen,"Afval, riolering, waterzuivering",Mijdrecht,4.88389,52.21162,401
RWZI Haarlem-Schalkwijk,"Afval, riolering, waterzuivering",Haarlem,4.66773,52.36869,398
RWZI Woerden,"Afval, riolering, waterzuivering",Woerden,4.85094,52.08507,397
RWZI De Bilt,"Afval, riolering, waterzuivering",De Bilt,5.17435,52.11936,390
RWZI Alphen aan den Rijn-Noord,"Afval, riolering, waterzuivering",Alphen aan den Rijn,4.67497,52.13752,384
RWZI Papendrecht,"Afval, riolering, waterzuivering",Papendrecht,4.70253,51.82601,369
RWZI Heugem,"Afval, riolering, waterzuivering",Gronsveld,5.71516,50.81688,364
RWZI Vinkel,"Afval, riolering, waterzuivering",Vinkel,5.44677,51.70143,361
RWZI Gennep,"Afval, riolering, waterzuivering",Gennep,5.96403,51.70522,357
RWZI Uithoorn,"Afval, riolering, waterzuivering",Uithoorn,4.83194,52.23978,346
RWZI Nijverdal,"Afval, riolering, waterzuivering",Nijverdal,6.47523,52.36857,340
RWZI Hattem,"Afval, riolering, waterzuivering",Hattem,6.04085,52.48501,336
RWZI Heel en Panheel,"Afval, riolering, waterzuivering",Heel,5.87907,51.17169,335
RWZI Delfzijl,"Afval, riolering, waterzuivering",Farmsum,6.95193,53.30697,334
RWZI Dedemsvaart (Woudbloemweg),"Afval, riolering, waterzuivering",Dedemsvaart,6.47401,52.61008,333
RWZI Vianen,"Afval, riolering, waterzuivering",Vianen,5.09862,51.99880,332
RWZI Bodegraven,"Afval, riolering, waterzuivering",Bodegraven,4.73506,52.08241,332
RWZI Houten,"Afval, riolering, waterzuivering",Houten,5.13101,52.02784,326
RWZI Oisterwijk,"Afval, riolering, waterzuivering",Haaren,5.22415,51.58700,322
RWZI Druten,"Afval, riolering, waterzuivering",Druten,5.59143,51.89248,316
RWZI Katwoude,"Afval, riolering, waterzuivering",Katwoude,5.03096,52.48269,313
RWZI Huizen,"Afval, riolering, waterzuivering",Huizen,5.24089,52.31023,306
RWZI Coevorden,"Afval, riolering, waterzuivering",Coevorden,6.71778,52.64294,305
RWZI De Stolpen,"Afval, riolering, waterzuivering",Schagerbrug,4.73617,52.80767,303
RWZI Dodewaard,"Afval, riolering, waterzuivering",Dodewaard,5.63432,51.92032,299
RWZI Dokkum,"Afval, riolering, waterzuivering",Dokkum,6.02049,53.32178,291
RWZI Hoogezand,"Afval, riolering, waterzuivering",Sappemeer,6.77351,53.17077,290
RWZI Alblasserdam,"Afval, riolering, waterzuivering",Alblasserdam,4.67313,51.85010,284
RWZI Stadskanaal,"Afval, riolering, waterzuivering",Alteveer,6.95622,53.01213,284
RWZI Kaatsheuvel,"Afval, riolering, waterzuivering",Kaatsheuvel,4.99702,51.65567,283
Nedri Spanstaal BV,"Industrie, Energie en Raffinaderijen",Venlo,6.14179,51.38287,282
RWZI Gelkenes,"Afval, riolering, waterzuivering",Groot-Ammers,4.85806,51.93549,282
RWZI Goor,"Afval, riolering, waterzuivering",Goor,6.57315,52.24691,280
RWZI Driebergen,"Afval, riolering, waterzuivering",Driebergen,5.25996,52.04612,277
RWZI Almelo Vissedijk,"Afval, riolering, waterzuivering",Almelo,6.64990,52.36594,275
RWZI De Meern,"Afval, riolering, waterzuivering",Utrecht,5.00186,52.08983,274
RWZI Bolsward,"Afval, riolering, waterzuivering",Bolsward,5.52298,53.07357,272
RWZI Rhenen,"Afval, riolering, waterzuivering",Rhenen,5.53128,51.97353,272
RWZI Harlingen,"Afval, riolering, waterzuivering",Harlingen,5.45428,53.17240,264
RWZI Woudenberg,"Afval, riolering, waterzuivering",Woudenberg,5.44703,52.08865,264
Smit & Zoon BV,"Industrie, Energie en Raffinaderijen",Amersfoort,5.35358,52.17331,261
RWZI Beilen,"Afval, riolering, waterzuivering",Beilen,6.49339,52.86004,259
RWZI Sliedrecht,"Afval, riolering, waterzuivering",Sliedrecht,4.79966,51.83013,258
RWZI Hilvarenbeek,"Afval, riolering, waterzuivering",Biesthoutakker,5.17261,51.50062,255
RWZI Rimburg,"Afval, riolering, waterzuivering",Landgraaf,6.09111,50.91891,255
Exploitatiemaatschappij J. ter Horst BV,Handel/Diensten/Overheid en Bouw,Goor,6.58879,52.24735,254
RWZI Brummen,"Afval, riolering, waterzuivering",Brummen,6.18556,52.09296,254
Eneco (Kanaalweg),"Industrie, Energie en Raffinaderijen",Utrecht,5.10762,52.07882,254
RWZI Barendrecht,"Afval, riolering, waterzuivering",Barendrecht,4.51720,51.83935,253
RWZI Leek,"Afval, riolering, waterzuivering",Leek,6.36899,53.15190,248
RWZI Raalte,"Afval, riolering, waterzuivering",Raalte,6.26363,52.39567,248
RWZI Epe,"Afval, riolering, waterzuivering",Epe,5.99915,52.34413,247
RWZI Ursem,"Afval, riolering, waterzuivering",Ursem,4.88779,52.63511,247
RWZI Gieten,"Afval, riolering, waterzuivering",Gieten,6.77303,53.01530,245
RWZI Kootstertille,"Afval, riolering, waterzuivering",Kootstertille,6.11638,53.22419,245
RWZI Breukelen,"Afval, riolering, waterzuivering",Breukelen,4.99404,52.16440,245
RWZI Rijssen,"Afval, riolering, waterzuivering",Rijssen,6.52974,52.31862,245
Compaxo Fijne Vleeswaren BV,"Industrie, Energie en Raffinaderijen",Gouda,4.70149,51.99952,244
RWZI Haaksbergen,"Afval, riolering, waterzuivering",Haaksbergen,6.71547,52.17648,242
Linde Gas Benelux BV,"Industrie, Energie en Raffinaderijen",Dieren,6.10909,52.05326,242
RWZI Lisse,"Afval, riolering, waterzuivering",Lisse,4.56137,52.24576,238
RWZI Wolvega,"Afval, riolering, waterzuivering",Wolvega,5.98890,52.88612,235
RWZI Stein,"Afval, riolering, waterzuivering",Stein,5.75168,50.97441,234
RWZI Breedeweg,"Afval, riolering, waterzuivering",Groesbeek,5.95211,51.75866,233
RWZI Steenwijk,"Afval, riolering, waterzuivering",Steenwijk,6.10016,52.78485,227
RWZI Heemstede,"Afval, riolering, waterzuivering",Heemstede,4.63733,52.34334,220
RWZI Waarde,"Afval, riolering, waterzuivering",Waarde,4.05421,51.42849,219
RWZI Gooiergracht,"Afval, riolering, waterzuivering",Blaricum,5.25074,52.26453,217
RWZI Genemuiden,"Afval, riolering, waterzuivering",Genemuiden,6.06318,52.60519,216
RWZI Foxhol,"Afval, riolering, waterzuivering",Foxhol,6.70906,53.16610,214
RWZI Varsseveld,"Afval, riolering, waterzuivering",Varsseveld,6.45790,51.95436,213
RWZI Oosterwolde,"Afval, riolering, waterzuivering",Oosterwolde,6.27926,52.99034,212
RWZI Vroomshoop,"Afval, riolering, waterzuivering",Vroomshoop,6.56542,52.44681,212
RWZI Sleen,"Afval, riolering, waterzuivering",Sleen,6.79244,52.76302,210
RWZI Weesp,"Afval, riolering, waterzuivering",Weesp,5.02033,52.31846,209
RWZI Birdaard,"Afval, riolering, waterzuivering",Birdaard,5.88345,53.29764,207
RWZI Zeewolde,"Afval, riolering, waterzuivering",Zeewolde,5.50758,52.36003,206
RWZI Bunnik,"Afval, riolering, waterzuivering",Bunnik,5.21950,52.06338,206
RWZI Nieuwveen,"Afval, riolering, waterzuivering",Nieuwveen,4.75840,52.18765,206
RWZI Wijk bij Duurstede,"Afval, riolering, waterzuivering",Wijk bij Duurstede,5.30852,51.97217,203
RWZI Dieverbrug,"Afval, riolering, waterzuivering",Dieverbrug,6.33270,52.84524,202
RWZI Nieuwe Wetering,"Afval, riolering, waterzuivering",Nieuwe Wetering,4.60145,52.21458,196
AWZI Middelharnis,"Afval, riolering, waterzuivering",Middelharnis,4.17892,51.76875,193
RWZI Terwolde,"Afval, riolering, waterzuivering",Terwolde,6.12397,52.26073,192
Reststoffen Bewerkingsinstallatie,"Industrie, Energie en Raffinaderijen",Farmsum,6.96859,53.29316,189
Bel Leerdammer BV (Schoonrewoerd),"Industrie, Energie en Raffinaderijen",Schoonrewoerd,5.11755,51.92207,187
RWZI Numansdorp,"Afval, riolering, waterzuivering",Numansdorp,4.42134,51.72609,187
RWZI Ootmarsum,"Afval, riolering, waterzuivering",Tilligte,6.93200,52.41293,186
RWZI Gendt,"Afval, riolering, waterzuivering",Gendt,5.94489,51.87234,185
RWZI Dalfsen,"Afval, riolering, waterzuivering",Dalfsen,6.23713,52.50983,185
RWZI Lichtenvoorde,"Afval, riolering, waterzuivering",Lichtenvoorde,6.56124,51.99820,182
RWZI Damwoude,"Afval, riolering, waterzuivering",Walterswald,6.03271,53.27635,178
RWZI Aalten,"Afval, riolering, waterzuivering",Aalten,6.57174,51.91281,169
RWZI Gorredijk,"Afval, riolering, waterzuivering",Gorredijk,6.05617,53.00977,168
RWZI Uithuizermeeden,"Afval, riolering, waterzuivering",Oosternieland,6.73854,53.40841,164
RWZI Losser,"Afval, riolering, waterzuivering",Losser,7.01315,52.26082,162
RWZI Westerschouwen,"Afval, riolering, waterzuivering",Burgh-Haamstede,3.76302,51.69001,161
RWZI Maarheeze,"Afval, riolering, waterzuivering",Soerendonk,5.59194,51.31178,159
RWZI Leerdam,"Afval, riolering, waterzuivering",Leerdam,5.06761,51.89229,159
RWZI Oostvoorne,"Afval, riolering, waterzuivering",Oostvoorne,4.11727,51.91699,157
Van Vliet Groep Milieu Dienstverleners BV,"Afval, riolering, waterzuivering",Nieuwegein,5.11235,52.04742,157
RWZI Kerkwerve,"Afval, riolering, waterzuivering",Kerkwerve,3.87250,51.67843,156
RWZI St. Maartensdijk-Scherpenisse,"Afval, riolering, waterzuivering",Sint-Maartensdijk,4.07471,51.55502,156
RWZI Workum,"Afval, riolering, waterzuivering",Workum,5.45122,52.97209,151
RWZI Heerde,"Afval, riolering, waterzuivering",Heerde,6.05392,52.39122,151
RWZI Goedereede,"Afval, riolering, waterzuivering",Goedereede,3.99610,51.82425,144
RWZI Bennekom,"Afval, riolering, waterzuivering",Bennekom,5.65709,51.99712,142
RWZI Winsum,"Afval, riolering, waterzuivering",Winsum,6.50326,53.33360,142
RWZI Grouw,"Afval, riolering, waterzuivering",Grou,5.81711,53.09264,140
RWZI Everstekoog,"Afval, riolering, waterzuivering",Everstekoog,4.77541,53.07658,140
Rogal BV,"Industrie, Energie en Raffinaderijen",Enschede,6.85755,52.22308,138
RWZI Tubbergen,"Afval, riolering, waterzuivering",Tubbergen,6.76579,52.40959,137
RWZI Hessenpoort,"Afval, riolering, waterzuivering",Zwolle,6.16384,52.53039,134
RWZI Strijen,"Afval, riolering, waterzuivering",Strijen,4.56185,51.74510,130
RWZI Hulst,"Afval, riolering, waterzuivering",Clinge,4.07575,51.27950,130
RWZI Ter Apel,"Afval, riolering, waterzuivering",Ter Apel,7.09706,52.87988,129
RWZI Breskens,"Afval, riolering, waterzuivering",Breskens,3.58565,51.38533,128
RWZI Onderdendam,"Afval, riolering, waterzuivering",Onderdendam,6.59321,53.32650,125
RWZI Joure,"Afval, riolering, waterzuivering",Broek,5.76196,52.97255,123
RWZI Ommen,"Afval, riolering, waterzuivering",Ommen,6.40709,52.52599,122
Vrije Universiteit Amsterdam,Handel/Diensten/Overheid en Bouw,Amsterdam,4.86181,52.33475,122
RWZI Olst,"Afval, riolering, waterzuivering",Olst,6.11047,52.34924,119
RWZI Lemmer,"Afval, riolering, waterzuivering",Lemmer,5.70199,52.86116,112
RWZI Gaarkeuken,"Afval, riolering, waterzuivering",Oldekerk,6.32353,53.24791,112
RWZI Gorinchem-Oost,"Afval, riolering, waterzuivering",Dalem,5.00848,51.83998,111
RWZI Hardinxveld-De Peulen,"Afval, riolering, waterzuivering",Hardinxveld-Giessendam,4.83893,51.82223,111
RWZI Haaften,"Afval, riolering, waterzuivering",Haaften,5.22420,51.82315,100
RWZI Rozenburg,"Afval, riolering, waterzuivering",Rozenburg,4.22726,51.91756,98
RWZI Oostburg,"Afval, riolering, waterzuivering",Oostburg,3.50141,51.33890,97
RWZI Lopik,"Afval, riolering, waterzuivering",Lopik,4.95874,51.96953,96
RWZI Terschelling,"Afval, riolering, waterzuivering",West-Terschelling,5.23848,53.36828,92
RWZI Denekamp,"Afval, riolering, waterzuivering",Denekamp,7.03358,52.38467,92
De Bioderij BV,"Industrie, Energie en Raffinaderijen",Sliedrecht,4.73491,51.82469,91
T. Boer & zn.,"Industrie, Energie en Raffinaderijen",Nieuwerkerk aan den IJssel,4.61786,51.95632,91
RWZI Simpelveld,"Afval, riolering, waterzuivering",Simpelveld,5.96915,50.83239,91
RWZI St.-Jacobiparochie,"Afval, riolering, waterzuivering",Sint-Jacobiparochie,5.63888,53.27499,90
RWZI Camperlandpolder,"Afval, riolering, waterzuivering",Kamperland,3.73417,51.57282,88
RWZI Wieringen,"Afval, riolering, waterzuivering",Den Oever,5.03179,52.92844,87
RWZI Montfoort,"Afval, riolering, waterzuivering",Montfoort,4.93855,52.04210,87
Metaalindustrie Waelbers BV,"Industrie, Energie en Raffinaderijen",Ruinerwold,6.24627,52.71755,86
RWZI Mastgat,"Afval, riolering, waterzuivering",Bruinisse,4.06266,51.63265,85
RWZI Sloten,"Afval, riolering, waterzuivering",Sloten,5.63986,52.90264,84
RWZI Scheveklap,"Afval, riolering, waterzuivering",Nieuwolda,6.97485,53.26308,84
Keizersberg Diervoeders Elsendorp BV,Landbouw,Elsendorp,5.76955,51.58588,81
RWZI Retranchement,"Afval, riolering, waterzuivering",Retranchement,3.38020,51.36394,80
RWZI Zuidhorn,"Afval, riolering, waterzuivering",Zuidhorn,6.38353,53.25102,79
RWZI Ruurlo,"Afval, riolering, waterzuivering",Ruurlo,6.43939,52.08948,78
RWZI Oude Tonge,"Afval, riolering, waterzuivering",Oude Tonge,4.17973,51.68426,77
RWZI Glanerbrug,"Afval, riolering, waterzuivering",Enschede,6.97796,52.21905,77
RWZI Oude Pekela,"Afval, riolering, waterzuivering",Oude Pekela,7.02719,53.11576,73
RWZI Leimuiden,"Afval, riolering, waterzuivering",Leimuiden,4.65382,52.22014,73
RWZI Tholen,"Afval, riolering, waterzuivering",Tholen,4.23189,51.54072,73
RWZI Warns,"Afval, riolering, waterzuivering",Molkwerum,5.39612,52.88494,73
RWZI Akkrum,"Afval, riolering, waterzuivering",Akkrum,5.83453,53.04495,70
RWZI Loenen aan de Vecht,"Afval, riolering, waterzuivering",Loenen aan de Vecht,5.00669,52.22377,70
RWZI Vriescheloo,"Afval, riolering, waterzuivering",Vriescheloo,7.12802,53.06269,68
RWZI Ameland,"Afval, riolering, waterzuivering",Ballum,5.72269,53.44401,67
RWZI Oudewater,"Afval, riolering, waterzuivering",Oudewater,4.85435,52.01929,67
RWZI Halsteren,"Afval, riolering, waterzuivering",Halsteren,4.25595,51.52770,66
RWZI Waspik,"Afval, riolering, waterzuivering",Waspik,4.94162,51.70491,64
RWZI Dinxperlo,"Afval, riolering, waterzuivering",Dinxperlo,6.47006,51.85537,62
RWZI Baarle Nassau,"Afval, riolering, waterzuivering",Baarle-Nassau,4.89915,51.44857,61
RWZI Smilde,"Afval, riolering, waterzuivering",Smilde,6.45379,52.94128,59
RWZI Heino,"Afval, riolering, waterzuivering",Heino,6.20242,52.44099,59
Bel Leerdammer BV (Dalfsen),"Industrie, Energie en Raffinaderijen",Dalfsen,6.26210,52.50882,57
RWZI Marum,"Afval, riolering, waterzuivering",Marum,6.26171,53.15295,56
RWZI Tweede Exloermond,"Afval, riolering, waterzuivering",Tweede Exloermond,6.94836,52.91787,55
RWZI Heenvliet,"Afval, riolering, waterzuivering",Heenvliet,4.24885,51.86833,55
RWZI Dinteloord,"Afval, riolering, waterzuivering",Dinteloord,4.36124,51.65183,54
RWZI Bergambacht,"Afval, riolering, waterzuivering",Bergambacht,4.78804,51.94063,53
RWZI Kloosterzande,"Afval, riolering, waterzuivering",Kloosterzande,4.02423,51.37603,51
RWZI Wehe den Hoorn,"Afval, riolering, waterzuivering",Wehe-den Hoorn,6.41477,53.36758,51
RWZI Wieringermeer,"Afval, riolering, waterzuivering",Middenmeer,5.01919,52.83494,50
RWZI Vollenhove,"Afval, riolering, waterzuivering",Vollenhove,5.94855,52.67129,50
RWZI Bergharen,"Afval, riolering, waterzuivering",Bergharen,5.64305,51.84582,50
RWZI Wehl,"Afval, riolering, waterzuivering",Wehl,6.21085,51.96893,49
RWZI Asperen,"Afval, riolering, waterzuivering",Asperen,5.11056,51.88407,48
RWZI Ulrum,"Afval, riolering, waterzuivering",Ulrum,6.33773,53.35322,47
RWZI Beesd,"Afval, riolering, waterzuivering",Beesd,5.16927,51.89791,46
RWZI Schiemonnikoog,"Afval, riolering, waterzuivering",Schiermonnikoog,6.19280,53.47538,45
RWZI Hooge Zwaluwe,"Afval, riolering, waterzuivering",Lage Zwaluwe,4.71445,51.71705,44
RWZI Vlieland,"Afval, riolering, waterzuivering",Vlieland,5.07826,53.29609,43
RWZI Millingen,"Afval, riolering, waterzuivering",Millingen aan de Rijn,6.02297,51.86470,42
RWZI Riel,"Afval, riolering, waterzuivering",Riel,5.02386,51.53418,41
RWZI Dreumel,"Afval, riolering, waterzuivering",Dreumel,5.43961,51.82832,39
RWZI Piershil,"Afval, riolering, waterzuivering",Piershil,4.34631,51.79822,37
RWZI Meijel,"Afval, riolering, waterzuivering",Meijel,5.86950,51.34881,36
RWZI Ossendrecht,"Afval, riolering, waterzuivering",Ossendrecht,4.32257,51.39079,36
RWZI Zetten,"Afval, riolering, waterzuivering",Randwijk,5.71172,51.93846,35
RWZI Bellingwolde,"Afval, riolering, waterzuivering",Bellingwolde,7.17866,53.13034,35
RWZI Chaam,"Afval, riolering, waterzuivering",Chaam,4.85275,51.51218,34
RWZI Stolwijk,"Afval, riolering, waterzuivering",Stolwijk,4.76713,51.98007,33
RWZI Den Ham,"Afval, riolering, waterzuivering",Den Ham,6.47814,52.46506,30
SVI Abdissenbosch,"Afval, riolering, waterzuivering",Landgraaf,6.02862,50.92379,28
RWZI Overasselt,"Afval, riolering, waterzuivering",Overasselt,5.80070,51.75770,27
RWZI Feerwerd,"Afval, riolering, waterzuivering",Feerwerd,6.47774,53.30322,27
RWZI Willemstad,"Afval, riolering, waterzuivering",Willemstad,4.45586,51.68858,27
RWZI Oosthuizen,"Afval, riolering, waterzuivering",Oosthuizen,4.99477,52.57964,27
RWZI Haastrecht,"Afval, riolering, waterzuivering",Haastrecht,4.78430,52.00263,25
RWZI Ooltgensplaat,"Afval, riolering, waterzuivering",Ooltgensplaat,4.35714,51.67299,24
RWZI Putte,"Afval, riolering, waterzuivering",Putten,4.38778,51.36530,23
RWZI Den Bommel,"Afval, riolering, waterzuivering",Den Bommel,4.26549,51.72511,22
RWZI Maasbommel,"Afval, riolering, waterzuivering",Maasbommel,5.52212,51.82972,16
RWZI Ammerstol,"Afval, riolering, waterzuivering",Ammerstol,4.80563,51.92993,16
RWZI Vossemeer,"Afval, riolering, waterzuivering",Nieuw Vossemeer,4.22017,51.57410,15
RWZI Berkenwoude,"Afval, riolering, waterzuivering",Berkenwoude,4.70387,51.92848,10
Vecom Metal Treatment Technology BV,"Industrie, Energie en Raffinaderijen",Maassluis,4.24385,51.92239,3
Martens Havenontvangstinst. Vlissingen BV,Handel/Diensten/Overheid en Bouw,Nieuwdorp,3.71116,51.44272,1