bedrijf,longitude,latitude
FrieslandCampina Lutjewinkel,4.88200,52.76434
RWZI Veenendaal,5.52275,52.03825
Vetsmelterij C.M. Bosland BV,5.25582,52.41246
Tata Steel Nederland Tubes BV (Oosterhout),4.88898,51.62470
Loparex BV,5.94367,52.19117
RWZI Assen,6.57467,53.00141
IHC Offshore & Marine B.V.,4.57310,51.90624
RWZI Leiden Zuid-West,4.47403,52.13648
Teijin Aramid BV (Emmen),6.90699,52.77500
RWZI Land van Cuijk,5.89348,51.69624
RWZI Scheemda,7.00811,53.16449
DSM Engineering Plastics (Emmen) BV,6.90699,52.77500
RWZI Den Helder,4.79010,52.92880
Elementis Specialties Netherlands B.V.,6.67903,52.25704
Linde Gas Benelux BV,4.60405,52.48447
RWZI Terneuzen,3.83838,51.29641
RWZI Renkum,5.72479,51.96684
Arla Foods BV,5.47855,52.23660
RWZI Willem Annapolder,3.93449,51.45009
Sonac Eindhoven BV,5.44760,51.43025
Romi Smilfood BV (Heerenveen),5.95234,52.93123
Ennatuurlijk B.V. (Eindhoven),5.45407,51.44927
Givaudan Nederland BV (Barneveld),5.57722,52.16715
Delfluent Services BV,4.31888,52.01541
DSM NeoResins B.V.,5.05425,51.69667
Remia CV,5.23821,52.13998
AFP Holland BV,5.93977,52.19084
Brabant Alucast International,5.55095,51.78380
COATEX Netherlands BV,4.58416,51.68962
RWZI Holten,6.41213,52.24330
Noblesse Proteins BV,6.50580,52.78784
RWZI Drachten,6.05984,53.11268
Groen Gas Gelderland B.V.,5.91270,51.91809
Vrumona BV,5.20055,52.06245
Invista Polyester BV,3.55149,51.48436
Scheepswerf Kooiman BV,4.61232,51.81197
Scheepswerf en machinefabriek 't Ambacht,4.65313,51.85263
Hexion VAD B.V.,4.35388,51.88340
SPGPrints,5.94265,51.63928
RWZI Leiden Noord,4.49405,52.17439
RWZI Alkmaar,4.74111,52.64234
Hyproca Dairy BV,6.42194,52.50720
RWZI Velsen,4.65971,52.45946
GDF SUEZ Centrale Bergum,6.02977,53.20955
RWZI Veendam,6.90054,53.10406
RWZI Venray,5.98862,51.55103
Inter-Che-M BV,5.73082,51.85519
UZIMET BV,4.34758,52.03405
DCC Maastricht B.V.,5.68016,50.86545
Caldic Chemie BV,4.18000,51.92840
Huntsman Holland BV,4.24920,51.88901
RWZI Boxtel,5.32801,51.60867
FrieslandCampina Cheese Steenderen,6.19691,52.05909
RWZI Wijlre,5.89661,50.82687
RWZI Dronten,5.71735,52.53669
RWZI Heiloo,4.72161,52.59460
Technoplating Lelystad B.V.,5.44542,52.49762
Energiecoöperatie Greenhouse Energy,5.91757,51.91543
Meneba Meel BV,4.48065,51.89462
Kemira Rotterdam BV,4.26606,51.89474
Celanese Emulsions BV,5.79834,50.95276
Hilton Meats Zaandam B.V.,4.80108,52.42694
Heiploeg International BV,6.30161,53.34551
FrieslandCampina Maasdam,4.54725,51.79039
Dr. W. Kolb Nederland BV,4.55917,51.67302
Ten Cate Technical Fabrics BV (PC Stamstraat),6.47903,52.35595
Trobas Gelatine BV,4.92125,51.61791
Ondergrondse aardgasopslag Zuidwending,6.93305,53.08320
AMC Academisch Medisch Centrum,4.95790,52.29501
RWZI 's-Hertogenbosch,5.28345,51.72100
Nutricia Cuijk BV,5.88796,51.72357
De Gerlien van Tiem B.V.,5.60192,51.89607
Holland Malt (Bavaria),6.82125,53.45519
Veka Shipyard Lemmer B.V.,5.71669,52.84242
Steenbakkerij Randwijk BV,5.72988,51.96583
Eneco (Nieuwegein),5.08426,52.02579
RWZI Amsterdam-West,4.78716,52.39853
FrieslandCampina Butter (Noordwijk),6.25749,53.17090
Fokker Aerostructures BV,4.67991,51.82511
Euro Support Advanced Materials B.V.,5.64674,51.65208
RWZI Franeker,5.58027,53.17750
Lucite International Holland BV,4.25555,51.88598
Schiffers Food BV,5.93822,50.90378
Oxea Nederland BV,4.80409,52.40629
Gasunie (Zweekhorst),6.08337,51.96396
AWZI De Groote Lucht (Vlaardingen),4.30309,51.89999
Zeepfabriek De Klok BV,6.03217,52.39518
IJ-palen,4.58147,52.46948
Givaudan Nederland BV (Naarden),5.18242,52.29601
Koninklijke VIV Buisman B.V.,6.34979,52.00113
Remat Chemie B.V.,5.66912,51.46587
Avery Dennison Materials Nederland BV,4.63960,52.13006
CZL Tilburg BV,5.02934,51.58926
Rouveen Kaasspecialiteiten,6.18586,52.61971
RWZI Olburgen,6.14522,52.04667
Nedzink BV,5.59984,51.23753
Enrichment Technology Company Nederland,6.68683,52.33784
Scheepswerf De Schroef,3.82947,51.26716
UMC St Radboud & Radboud Universiteit Nijmegen,5.86548,51.81981
Riedel B.V.,5.64732,52.03220
Smit Draad,5.81017,51.84231
PPG Coatings,5.41262,51.88328
Intervet Schering-Plough Animal Health (De Bilt),5.18567,52.10906
TANATEX Chemicals BV,5.64482,52.02861
HWC Amsterdam Driehoek,4.83429,52.34058
Scheepswerf Slob BV,4.72257,51.82450
Arrow Terminals,3.70600,51.43900
Prysmian Netherlands B.V.,4.36430,51.99568
Heineken Nederland BV (Den Bosch),5.27871,51.70212
Arkema BV Location Brummen,6.15397,52.10302
Delamine BV,6.96172,53.31367
Nobian Chemicals BV (Chemie Park Delfzijl),6.94789,53.31960
FrieslandCampina Rotterdam,4.41596,51.93005
RWZI Bergum-Suameer,5.99602,53.18353
Sonac Harlingen BV,5.43579,53.17996
Zincoat BV,6.84439,52.72100
Pernis PVC Plant,4.34662,51.87605
Merck Sharp & Dohme BV (De Geer),5.55483,51.78227
Smurfit Kappa Solid Board KM4 (Oude Pekela),6.98746,53.09302
RZB Holding BV,4.41598,51.89084
FrieslandCampina Den Bosch,5.32936,51.68417
BRF B.V.,6.30145,52.98343
RWZI Waalwijk,5.07178,51.71163
Van Merksteijn Plastics B.V.,6.80929,52.20555
Caligen Europe BV,4.76862,51.60750
UCO Kampen BV,5.87658,52.57435
DSM Advanced Polyesters Emmen BV,6.90699,52.77500
Organik Kimya BV,4.26707,51.87747
Nuon HWC Westervoort,5.98303,51.95685
Frisia Zout,5.42630,53.18691
Ekro BV,5.97299,52.17891
Global Food Group BV eierverwerking,5.77461,51.29777
FrieslandCampina Cheese (Balkbrug),6.39677,52.60229
Tata Steel Nederland Tubes BV (Maastricht),5.71401,50.88301
Nuon HWC Schuytgraaf,5.84117,51.94493
Eagle Simrax BV,6.04178,50.88762
Kemira Chemicals BV,4.18578,51.91910
Cumapol Emmen BV,6.90699,52.77500
Stegeman C.V.,6.14221,52.39470
Mirec BV,5.43430,51.43699
Crealis Nederland BV,4.25655,51.50389
B.V. Esbro,6.22463,51.94762
Eneco HWC Nicolaas Beetsstraat,5.11502,52.08529
RWZI Nieuwe Waterweg,4.15324,51.96624
Nedschroef Helmond BV,5.65107,51.48255
Tata Steel Nederland Tubes BV (Zwijndrecht),4.62431,51.80556
W.F.G.M. van Gemert,5.76401,51.30082
Exploitatiemaatschappij J. ter Horst BV,6.47179,51.93866
Uniper HWC Delftsevaart,4.48361,51.92169
Dunlop Conveyor Belting,6.09094,53.10714
Yara Vlaardingen BV,4.32565,51.89878
RWZI Eindhoven,5.50582,51.46011
HAK,5.02999,51.79281
Delfluent Services BV,4.26655,52.08857
Veka BV,4.88076,51.80802
Covestro B.V.,6.71143,53.17362
KBM Master Alloys BV (Oss),5.54922,51.78340
Quaker Chemical BV,4.83235,52.23791
RWZI Sleeuwijk,4.92922,51.81543
Scheepswerf L.J. Boer Sliedrecht BV,4.76558,51.81926
Reomas B.V.,6.19577,52.15570
Breko,4.72257,51.82455
Gasunie (Alphen en Riel),4.96801,51.51265
Koster Keunen (Holland) B.V.,5.20555,51.35902
Holonite BV (Tholen),4.22877,51.54413
Exportslachterij Clazing BV,4.60335,51.99769
Technoplating Nijkerk BV,5.48264,52.23225
M&R Claushuis BV,5.50502,52.35741
AHC Benelux B.V.,5.43437,51.43430
Kisuma Chemicals BV,6.89329,53.11372
RWZI Vriezenveen,6.63200,52.40837
Eneco HWC Overvecht (Esmoreit),5.10762,52.11354
Ardagh Metal Beverage Netherlands BV,5.54510,51.76588
Main B.V. (Jan van Riebeeckhavenweg),4.85386,52.40746
Hunter Douglas Europe BV,4.51305,51.90951
RWZI Oijen,5.48823,51.81196
Hartog Containers B.V.,5.34945,52.17165
Oiltanking Terneuzen BV,3.75173,51.34378
RWZI Enschede West,6.84064,52.23412
RWZI Wervershoof,5.13553,52.73280
RWZI Aarle-Rixtel,5.66299,51.50599
RWZI Amsterdam-Westpoort,4.80223,52.41321
Morssinkhof Plastics Emmen BV,6.90699,52.77500
Nuon HWC (Almere),5.21462,52.38796
Amcor Tobacco Packaging Brabant BV,4.27536,51.50507
RWZI Utrecht,5.10796,52.10989
RWZI Hoensbroek,5.91497,50.91254
RWZI Geestmerambacht,4.73719,52.69444
Uniper HWC Blekerstraat,4.48092,51.91586
Van der Velden Rioleringsbeheer Buren B.V.,5.18438,52.00467
RWZI Dinther,5.52944,51.63681
RWZI Zwaanshoek,4.60688,52.30338
RWZI Dordrecht,4.73683,51.81649
MRC Plating Products B.V.,5.50384,52.35666
RWZI Zuidoostbeemster,4.91575,52.51913
RWZI Katwijk,4.44016,52.20252
Van de Werken Hardchroomindustrie B.V.,5.05363,51.59261
RWZI Zwijndrecht,4.58050,51.81312
AWZI Almere,5.24615,52.39955
RWZI Bommelerwaard,5.26667,51.81548
Verzinkerij West Brabant BV,4.55527,51.59117
RWZI Zutphen,6.19269,52.15984
RWZI Echten,6.41587,52.71017
RWZI Capelle-Groenedijk,4.60209,51.92875
RWZI Zwanenburg,4.73974,52.36159
RWZI Kortenoord,4.63044,51.97208
AWZI Lelystad,5.49913,52.50294
Draka Interfoam BV,4.57660,52.29386
WKC Enschede,6.82795,52.21402
Slibverwerking Nuenen,5.57131,51.44225
CPC Metal Treatment BV,6.72166,52.66434
RWZI Ridderkerk,4.62049,51.87314
SVI Heerenveen-Noord,5.89479,52.97013
RWZI Hellevoetsluis,4.17579,51.84283
AWZI Spijkenisse-Allemanspolder,4.36417,51.84152
RWZI Leidsche Rijn,5.03856,52.11281
Performance Materials Netherlands B.V. (Dow),4.72325,51.81635
RWZI Kaffeberg,6.04936,50.88320
"Hexion UK Limited, Dutch Branch",4.26535,51.87635
RWZI Kampen,5.87698,52.57658
RWZI Gouda,4.71325,52.00242
Slibontwateringsinstallatie / RWZI Heerenveen,5.89434,52.96947
Koninklijke Eru Kaasfabriek BV,4.90919,52.07655
EPS B.V.,4.65138,51.84907
Compaxo Vlees Zevenaar BV,6.09098,51.93465
RWZI Schelluinen,4.93543,51.84369
RWZI Haarlo,6.59325,52.11844
RWZI Hapert,5.24070,51.37759
RWZI Meppel,6.19364,52.70966
RWZI Sint Oedenrode,5.44489,51.56103
RWZI Hardenberg,6.60933,52.54109
Merck Sharp & Dohme BV (Moleneind),5.53038,51.76284
RWZI Maastricht-Bosscherveld,5.68251,50.86434
RWZI Eelde,6.60370,53.12806
RWZI Soest,5.29841,52.19343
RWZI Rotterdam-Hoogvliet,4.33481,51.87424
RWZI Reeuwijk-Randenburg,4.66256,52.05587
Keizersberg Diervoeders Elsendorp B.V. (Milheeze),5.80254,51.50997
RWZI Alphen Kerk en Zanen,4.62667,52.12786
RWZI Winterswijk,6.70677,51.98692
RWZI Almelo-Sumpel,6.62277,52.34106
RWZI Zeist,5.21151,52.08718
RWZI De Groote Zaag,4.59683,51.89725
RWZI Hilversum,5.20379,52.22428
RWZI Geldermalsen,5.27536,51.88707
RWZI Oud Beijerland,4.42965,51.82769
RWZI Asten,5.74352,51.39241
RWZI Noordwijk,4.44766,52.22154
RWZI Sneek,5.64205,53.02305
RWZI Nijkerk,5.47382,52.23174
RWZI Culemborg,5.23643,51.93943
RWZI Rijen,4.92240,51.60341
RWZI Oldenzaal,6.89322,52.31006
RWZI De Ronde Venen,4.88389,52.21162
RWZI Haarlem-Schalkwijk,4.66773,52.36869
RWZI Woerden,4.85094,52.08507
RWZI De Bilt,5.17435,52.11936
RWZI Alphen aan den Rijn-Noord,4.67497,52.13752
RWZI Papendrecht,4.70253,51.82601
RWZI Heugem,5.71516,50.81688
RWZI Vinkel,5.44677,51.70143
RWZI Gennep,5.96403,51.70522
RWZI Uithoorn,4.83194,52.23978
RWZI Nijverdal,6.47523,52.36857
RWZI Hattem,6.04085,52.48501
RWZI Heel en Panheel,5.87907,51.17169
RWZI Delfzijl,6.95193,53.30697
RWZI Dedemsvaart (Woudbloemweg),6.47401,52.61008
RWZI Vianen,5.09862,51.99880
RWZI Bodegraven,4.73506,52.08241
RWZI Houten,5.13101,52.02784
RWZI Oisterwijk,5.22415,51.58700
RWZI Druten,5.59143,51.89248
RWZI Katwoude,5.03096,52.48269
RWZI Huizen,5.24089,52.31023
RWZI Coevorden,6.71778,52.64294
RWZI De Stolpen,4.73617,52.80767
RWZI Dodewaard,5.63432,51.92032
RWZI Dokkum,6.02049,53.32178
RWZI Hoogezand,6.77351,53.17077
RWZI Alblasserdam,4.67313,51.85010
RWZI Stadskanaal,6.95622,53.01213
RWZI Kaatsheuvel,4.99702,51.65567
Nedri Spanstaal BV,6.14179,51.38287
RWZI Gelkenes,4.85806,51.93549
RWZI Goor,6.57315,52.24691
RWZI Driebergen,5.25996,52.04612
RWZI Almelo Vissedijk,6.64990,52.36594
RWZI De Meern,5.00186,52.08983
RWZI Bolsward,5.52298,53.07357
RWZI Rhenen,5.53128,51.97353
RWZI Harlingen,5.45428,53.17240
RWZI Woudenberg,5.44703,52.08865
Smit & Zoon BV,5.35358,52.17331
RWZI Beilen,6.49339,52.86004
RWZI Sliedrecht,4.79966,51.83013
RWZI Hilvarenbeek,5.17261,51.50062
RWZI Rimburg,6.09111,50.91891
Exploitatiemaatschappij J. ter Horst BV,6.58879,52.24735
RWZI Brummen,6.18556,52.09296
Eneco (Kanaalweg),5.10762,52.07882
RWZI Barendrecht,4.51720,51.83935
RWZI Leek,6.36899,53.15190
RWZI Raalte,6.26363,52.39567
RWZI Epe,5.99915,52.34413
RWZI Ursem,4.88779,52.63511
RWZI Gieten,6.77303,53.01530
RWZI Kootstertille,6.11638,53.22419
RWZI Breukelen,4.99404,52.16440
RWZI Rijssen,6.52974,52.31862
Compaxo Fijne Vleeswaren BV,4.70149,51.99952
RWZI Haaksbergen,6.71547,52.17648
Linde Gas Benelux BV,6.10909,52.05326
RWZI Lisse,4.56137,52.24576
RWZI Wolvega,5.98890,52.88612
RWZI Stein,5.75168,50.97441
RWZI Breedeweg,5.95211,51.75866
RWZI Steenwijk,6.10016,52.78485
RWZI Heemstede,4.63733,52.34334
RWZI Waarde,4.05421,51.42849
RWZI Gooiergracht,5.25074,52.26453
RWZI Genemuiden,6.06318,52.60519
RWZI Foxhol,6.70906,53.16610
RWZI Varsseveld,6.45790,51.95436
RWZI Oosterwolde,6.27926,52.99034
RWZI Vroomshoop,6.56542,52.44681
RWZI Sleen,6.79244,52.76302
RWZI Weesp,5.02033,52.31846
RWZI Birdaard,5.88345,53.29764
RWZI Zeewolde,5.50758,52.36003
RWZI Bunnik,5.21950,52.06338
RWZI Nieuwveen,4.75840,52.18765
RWZI Wijk bij Duurstede,5.30852,51.97217
RWZI Dieverbrug,6.33270,52.84524
RWZI Nieuwe Wetering,4.60145,52.21458
AWZI Middelharnis,4.17892,51.76875
RWZI Terwolde,6.12397,52.26073
Reststoffen Bewerkingsinstallatie,6.96859,53.29316
Bel Leerdammer BV (Schoonrewoerd),5.11755,51.92207
RWZI Numansdorp,4.42134,51.72609
RWZI Ootmarsum,6.93200,52.41293
RWZI Gendt,5.94489,51.87234
RWZI Dalfsen,6.23713,52.50983
RWZI Lichtenvoorde,6.56124,51.99820
RWZI Damwoude,6.03271,53.27635
RWZI Aalten,6.57174,51.91281
RWZI Gorredijk,6.05617,53.00977
RWZI Uithuizermeeden,6.73854,53.40841
RWZI Losser,7.01315,52.26082
RWZI Westerschouwen,3.76302,51.69001
RWZI Maarheeze,5.59194,51.31178
RWZI Leerdam,5.06761,51.89229
RWZI Oostvoorne,4.11727,51.91699
Van Vliet Groep Milieu Dienstverleners BV,5.11235,52.04742
RWZI Kerkwerve,3.87250,51.67843
RWZI St. Maartensdijk-Scherpenisse,4.07471,51.55502
RWZI Workum,5.45122,52.97209
RWZI Heerde,6.05392,52.39122
RWZI Goedereede,3.99610,51.82425
RWZI Bennekom,5.65709,51.99712
RWZI Winsum,6.50326,53.33360
RWZI Grouw,5.81711,53.09264
RWZI Everstekoog,4.77541,53.07658
Rogal BV,6.85755,52.22308
RWZI Tubbergen,6.76579,52.40959
RWZI Hessenpoort,6.16384,52.53039
RWZI Strijen,4.56185,51.74510
RWZI Hulst,4.07575,51.27950
RWZI Ter Apel,7.09706,52.87988
RWZI Breskens,3.58565,51.38533
RWZI Onderdendam,6.59321,53.32650
RWZI Joure,5.76196,52.97255
RWZI Ommen,6.40709,52.52599
Vrije Universiteit Amsterdam,4.86181,52.33475
RWZI Olst,6.11047,52.34924
RWZI Lemmer,5.70199,52.86116
RWZI Gaarkeuken,6.32353,53.24791
RWZI Gorinchem-Oost,5.00848,51.83998
RWZI Hardinxveld-De Peulen,4.83893,51.82223
RWZI Haaften,5.22420,51.82315
RWZI Rozenburg,4.22726,51.91756
RWZI Oostburg,3.50141,51.33890
RWZI Lopik,4.95874,51.96953
RWZI Terschelling,5.23848,53.36828
RWZI Denekamp,7.03358,52.38467
De Bioderij BV,4.73491,51.82469
T. Boer & zn.,4.61786,51.95632
RWZI Simpelveld,5.96915,50.83239
RWZI St.-Jacobiparochie,5.63888,53.27499
RWZI Camperlandpolder,3.73417,51.57282
RWZI Wieringen,5.03179,52.92844
RWZI Montfoort,4.93855,52.04210
Metaalindustrie Waelbers BV,6.24627,52.71755
RWZI Mastgat,4.06266,51.63265
RWZI Sloten,5.63986,52.90264
RWZI Scheveklap,6.97485,53.26308
Keizersberg Diervoeders Elsendorp BV,5.76955,51.58588
RWZI Retranchement,3.38020,51.36394
RWZI Zuidhorn,6.38353,53.25102
RWZI Ruurlo,6.43939,52.08948
RWZI Oude Tonge,4.17973,51.68426
RWZI Glanerbrug,6.97796,52.21905
RWZI Oude Pekela,7.02719,53.11576
RWZI Leimuiden,4.65382,52.22014
RWZI Tholen,4.23189,51.54072
RWZI Warns,5.39612,52.88494
RWZI Akkrum,5.83453,53.04495
RWZI Loenen aan de Vecht,5.00669,52.22377
RWZI Vriescheloo,7.12802,53.06269
RWZI Ameland,5.72269,53.44401
RWZI Oudewater,4.85435,52.01929
RWZI Halsteren,4.25595,51.52770
RWZI Waspik,4.94162,51.70491
RWZI Dinxperlo,6.47006,51.85537
RWZI Baarle Nassau,4.89915,51.44857
RWZI Smilde,6.45379,52.94128
RWZI Heino,6.20242,52.44099
Bel Leerdammer BV (Dalfsen),6.26210,52.50882
RWZI Marum,6.26171,53.15295
RWZI Tweede Exloermond,6.94836,52.91787
RWZI Heenvliet,4.24885,51.86833
RWZI Dinteloord,4.36124,51.65183
RWZI Bergambacht,4.78804,51.94063
RWZI Kloosterzande,4.02423,51.37603
RWZI Wehe den Hoorn,6.41477,53.36758
RWZI Wieringermeer,5.01919,52.83494
RWZI Vollenhove,5.94855,52.67129
RWZI Bergharen,5.64305,51.84582
RWZI Wehl,6.21085,51.96893
RWZI Asperen,5.11056,51.88407
RWZI Ulrum,6.33773,53.35322
RWZI Beesd,5.16927,51.89791
RWZI Schiemonnikoog,6.19280,53.47538
RWZI Hooge Zwaluwe,4.71445,51.71705
RWZI Vlieland,5.07826,53.29609
RWZI Millingen,6.02297,51.86470
RWZI Riel,5.02386,51.53418
RWZI Dreumel,5.43961,51.82832
RWZI Piershil,4.34631,51.79822
RWZI Meijel,5.86950,51.34881
RWZI Ossendrecht,4.32257,51.39079
RWZI Zetten,5.71172,51.93846
RWZI Bellingwolde,7.17866,53.13034
RWZI Chaam,4.85275,51.51218
RWZI Stolwijk,4.76713,51.98007
RWZI Den Ham,6.47814,52.46506
SVI Abdissenbosch,6.02862,50.92379
RWZI Overasselt,5.80070,51.75770
RWZI Feerwerd,6.47774,53.30322
RWZI Willemstad,4.45586,51.68858
RWZI Oosthuizen,4.99477,52.57964
RWZI Haastrecht,4.78430,52.00263
RWZI Ooltgensplaat,4.35714,51.67299
RWZI Putte,4.38778,51.36530
RWZI Den Bommel,4.26549,51.72511
RWZI Maasbommel,5.52212,51.82972
RWZI Ammerstol,4.80563,51.92993
RWZI Vossemeer,4.22017,51.57410
RWZI Berkenwoude,4.70387,51.92848
Vecom Metal Treatment Technology BV,4.24385,51.92239
Martens Havenontvangstinst. Vlissingen BV,3.71116,51.44272